Bacterium,Pathway,Value
Candidatus Saccharimonas aalborgensis,map00010,1.52
Candidatus Saccharimonas aalborgensis,map00020,0.99
Candidatus Saccharimonas aalborgensis,map00030,4.51
Candidatus Saccharimonas aalborgensis,map00040,0.12
Candidatus Saccharimonas aalborgensis,map00051,0.76
Candidatus Saccharimonas aalborgensis,map00052,0.76
Candidatus Saccharimonas aalborgensis,map00220,2.7
Candidatus Saccharimonas aalborgensis,map00230,2.53
Candidatus Saccharimonas aalborgensis,map00240,3.99
Candidatus Saccharimonas aalborgensis,map00250,1.93
Candidatus Saccharimonas aalborgensis,map00260,0.05
Candidatus Saccharimonas aalborgensis,map00270,1.01
Candidatus Saccharimonas aalborgensis,map00300,0.06
Candidatus Saccharimonas aalborgensis,map00311,0.73
Candidatus Saccharimonas aalborgensis,map00330,0.55
Candidatus Saccharimonas aalborgensis,map00332,0.55
Candidatus Saccharimonas aalborgensis,map00340,1.0
Candidatus Saccharimonas aalborgensis,map00380,0.89
Candidatus Saccharimonas aalborgensis,map00400,0.82
Candidatus Saccharimonas aalborgensis,map00430,0.16
Candidatus Saccharimonas aalborgensis,map00450,0.03
Candidatus Saccharimonas aalborgensis,map00460,0.88
Candidatus Saccharimonas aalborgensis,map00480,4.33
Candidatus Saccharimonas aalborgensis,map00500,5.04
Candidatus Saccharimonas aalborgensis,map00520,3.32
Candidatus Saccharimonas aalborgensis,map00541,2.26
Candidatus Saccharimonas aalborgensis,map00550,3.43
Candidatus Saccharimonas aalborgensis,map00561,0.11
Candidatus Saccharimonas aalborgensis,map00562,0.01
Candidatus Saccharimonas aalborgensis,map00564,0.63
Candidatus Saccharimonas aalborgensis,map00590,0.8
Candidatus Saccharimonas aalborgensis,map00620,1.24
Candidatus Saccharimonas aalborgensis,map00630,0.95
Candidatus Saccharimonas aalborgensis,map00640,1.15
Candidatus Saccharimonas aalborgensis,map00660,0.99
Candidatus Saccharimonas aalborgensis,map00670,1.88
Candidatus Saccharimonas aalborgensis,map00730,0.01
Candidatus Saccharimonas aalborgensis,map00760,3.84
Candidatus Saccharimonas aalborgensis,map00790,0.67
Candidatus Saccharimonas aalborgensis,map00900,0.01
Candidatus Saccharimonas aalborgensis,map00908,0.01
Candidatus Saccharimonas aalborgensis,map00940,0.82
Candidatus Saccharimonas aalborgensis,map00983,1.64
Candidatus Saccharimonas aalborgensis,map01051,0.01
Candidatus Saccharimonas aalborgensis,map01053,1.0
Clostridium aceticum,map00010,5.09
Clostridium aceticum,map00020,4.07
Clostridium aceticum,map00030,7.41
Clostridium aceticum,map00040,8.76
Clostridium aceticum,map00051,5.19
Clostridium aceticum,map00052,3.18
Clostridium aceticum,map00053,2.68
Clostridium aceticum,map00061,0.25
Clostridium aceticum,map00071,0.74
Clostridium aceticum,map00130,0.84
Clostridium aceticum,map00220,7.49
Clostridium aceticum,map00230,11.93
Clostridium aceticum,map00240,5.68
Clostridium aceticum,map00250,7.64
Clostridium aceticum,map00254,0.06
Clostridium aceticum,map00260,12.34
Clostridium aceticum,map00261,1.76
Clostridium aceticum,map00270,9.86
Clostridium aceticum,map00280,1.8
Clostridium aceticum,map00290,4.45
Clostridium aceticum,map00300,3.62
Clostridium aceticum,map00310,6.3
Clostridium aceticum,map00330,7.32
Clostridium aceticum,map00332,1.1
Clostridium aceticum,map00340,10.51
Clostridium aceticum,map00350,2.97
Clostridium aceticum,map00360,5.3
Clostridium aceticum,map00362,3.52
Clostridium aceticum,map00380,5.01
Clostridium aceticum,map00400,3.85
Clostridium aceticum,map00401,0.76
Clostridium aceticum,map00405,0.26
Clostridium aceticum,map00410,0.82
Clostridium aceticum,map00430,1.16
Clostridium aceticum,map00450,4.09
Clostridium aceticum,map00460,0.94
Clostridium aceticum,map00480,3.28
Clostridium aceticum,map00500,4.91
Clostridium aceticum,map00511,0.79
Clostridium aceticum,map00513,0.79
Clostridium aceticum,map00520,4.55
Clostridium aceticum,map00521,2.59
Clostridium aceticum,map00523,2.5
Clostridium aceticum,map00524,0.08
Clostridium aceticum,map00525,1.17
Clostridium aceticum,map00531,0.79
Clostridium aceticum,map00541,5.38
Clostridium aceticum,map00550,0.89
Clostridium aceticum,map00561,2.88
Clostridium aceticum,map00562,0.01
Clostridium aceticum,map00564,2.09
Clostridium aceticum,map00572,0.58
Clostridium aceticum,map00592,0.58
Clostridium aceticum,map00603,0.79
Clostridium aceticum,map00604,0.79
Clostridium aceticum,map00620,10.59
Clostridium aceticum,map00621,2.01
Clostridium aceticum,map00622,2.01
Clostridium aceticum,map00625,1.42
Clostridium aceticum,map00626,0.58
Clostridium aceticum,map00627,1.65
Clostridium aceticum,map00630,7.34
Clostridium aceticum,map00633,0.72
Clostridium aceticum,map00640,3.17
Clostridium aceticum,map00643,0.99
Clostridium aceticum,map00650,9.64
Clostridium aceticum,map00660,3.69
Clostridium aceticum,map00670,5.68
Clostridium aceticum,map00730,5.08
Clostridium aceticum,map00740,0.46
Clostridium aceticum,map00750,0.86
Clostridium aceticum,map00760,2.84
Clostridium aceticum,map00770,2.32
Clostridium aceticum,map00780,2.22
Clostridium aceticum,map00785,1.88
Clostridium aceticum,map00790,5.93
Clostridium aceticum,map00830,0.58
Clostridium aceticum,map00860,21.78
Clostridium aceticum,map00900,1.22
Clostridium aceticum,map00903,0.95
Clostridium aceticum,map00908,0.01
Clostridium aceticum,map00930,0.95
Clostridium aceticum,map00940,0.98
Clostridium aceticum,map00950,0.86
Clostridium aceticum,map00960,0.59
Clostridium aceticum,map00966,0.03
Clostridium aceticum,map00980,0.58
Clostridium aceticum,map00982,1.4
Clostridium aceticum,map00983,3.36
Clostridium aceticum,map01051,0.01
Clostridium aceticum,map01055,1.49
Clostridium acetobutylicum ATCC 824,map00010,6.93
Clostridium acetobutylicum ATCC 824,map00020,2.9
Clostridium acetobutylicum ATCC 824,map00030,7.51
Clostridium acetobutylicum ATCC 824,map00040,6.64
Clostridium acetobutylicum ATCC 824,map00051,9.03
Clostridium acetobutylicum ATCC 824,map00052,11.15
Clostridium acetobutylicum ATCC 824,map00053,0.7
Clostridium acetobutylicum ATCC 824,map00061,0.25
Clostridium acetobutylicum ATCC 824,map00062,1.28
Clostridium acetobutylicum ATCC 824,map00071,2.91
Clostridium acetobutylicum ATCC 824,map00130,0.84
Clostridium acetobutylicum ATCC 824,map00220,5.24
Clostridium acetobutylicum ATCC 824,map00230,12.68
Clostridium acetobutylicum ATCC 824,map00240,7.29
Clostridium acetobutylicum ATCC 824,map00250,4.74
Clostridium acetobutylicum ATCC 824,map00254,0.06
Clostridium acetobutylicum ATCC 824,map00260,4.26
Clostridium acetobutylicum ATCC 824,map00261,0.86
Clostridium acetobutylicum ATCC 824,map00270,7.91
Clostridium acetobutylicum ATCC 824,map00280,2.91
Clostridium acetobutylicum ATCC 824,map00281,0.59
Clostridium acetobutylicum ATCC 824,map00290,3.93
Clostridium acetobutylicum ATCC 824,map00300,2.85
Clostridium acetobutylicum ATCC 824,map00310,3.28
Clostridium acetobutylicum ATCC 824,map00311,0.73
Clostridium acetobutylicum ATCC 824,map00330,3.42
Clostridium acetobutylicum ATCC 824,map00332,1.1
Clostridium acetobutylicum ATCC 824,map00340,5.08
Clostridium acetobutylicum ATCC 824,map00350,1.17
Clostridium acetobutylicum ATCC 824,map00360,4.01
Clostridium acetobutylicum ATCC 824,map00361,0.72
Clostridium acetobutylicum ATCC 824,map00362,1.92
Clostridium acetobutylicum ATCC 824,map00363,0.68
Clostridium acetobutylicum ATCC 824,map00380,0.75
Clostridium acetobutylicum ATCC 824,map00400,2.85
Clostridium acetobutylicum ATCC 824,map00401,0.76
Clostridium acetobutylicum ATCC 824,map00405,0.26
Clostridium acetobutylicum ATCC 824,map00410,2.46
Clostridium acetobutylicum ATCC 824,map00430,0.28
Clostridium acetobutylicum ATCC 824,map00450,3.1
Clostridium acetobutylicum ATCC 824,map00460,1.04
Clostridium acetobutylicum ATCC 824,map00480,1.93
Clostridium acetobutylicum ATCC 824,map00500,14.93
Clostridium acetobutylicum ATCC 824,map00510,0.96
Clostridium acetobutylicum ATCC 824,map00511,2.46
Clostridium acetobutylicum ATCC 824,map00513,0.79
Clostridium acetobutylicum ATCC 824,map00520,13.77
Clostridium acetobutylicum ATCC 824,map00521,2.59
Clostridium acetobutylicum ATCC 824,map00523,2.5
Clostridium acetobutylicum ATCC 824,map00524,0.08
Clostridium acetobutylicum ATCC 824,map00525,1.17
Clostridium acetobutylicum ATCC 824,map00531,1.58
Clostridium acetobutylicum ATCC 824,map00540,3.31
Clostridium acetobutylicum ATCC 824,map00541,6.3
Clostridium acetobutylicum ATCC 824,map00550,1.47
Clostridium acetobutylicum ATCC 824,map00561,3.92
Clostridium acetobutylicum ATCC 824,map00562,0.77
Clostridium acetobutylicum ATCC 824,map00564,5.66
Clostridium acetobutylicum ATCC 824,map00565,0.76
Clostridium acetobutylicum ATCC 824,map00572,0.58
Clostridium acetobutylicum ATCC 824,map00590,0.8
Clostridium acetobutylicum ATCC 824,map00592,1.17
Clostridium acetobutylicum ATCC 824,map00600,0.79
Clostridium acetobutylicum ATCC 824,map00603,0.79
Clostridium acetobutylicum ATCC 824,map00604,1.58
Clostridium acetobutylicum ATCC 824,map00620,10.06
Clostridium acetobutylicum ATCC 824,map00621,0.61
Clostridium acetobutylicum ATCC 824,map00622,0.61
Clostridium acetobutylicum ATCC 824,map00625,2.14
Clostridium acetobutylicum ATCC 824,map00626,0.58
Clostridium acetobutylicum ATCC 824,map00627,2.07
Clostridium acetobutylicum ATCC 824,map00630,2.78
Clostridium acetobutylicum ATCC 824,map00633,1.52
Clostridium acetobutylicum ATCC 824,map00640,5.08
Clostridium acetobutylicum ATCC 824,map00650,10.55
Clostridium acetobutylicum ATCC 824,map00660,2.8
Clostridium acetobutylicum ATCC 824,map00670,4.05
Clostridium acetobutylicum ATCC 824,map00730,4.35
Clostridium acetobutylicum ATCC 824,map00740,1.38
Clostridium acetobutylicum ATCC 824,map00750,1.41
Clostridium acetobutylicum ATCC 824,map00760,3.08
Clostridium acetobutylicum ATCC 824,map00770,2.97
Clostridium acetobutylicum ATCC 824,map00780,0.74
Clostridium acetobutylicum ATCC 824,map00790,4.02
Clostridium acetobutylicum ATCC 824,map00830,0.58
Clostridium acetobutylicum ATCC 824,map00860,18.96
Clostridium acetobutylicum ATCC 824,map00900,1.22
Clostridium acetobutylicum ATCC 824,map00903,0.59
Clostridium acetobutylicum ATCC 824,map00908,0.01
Clostridium acetobutylicum ATCC 824,map00930,0.59
Clostridium acetobutylicum ATCC 824,map00940,0.82
Clostridium acetobutylicum ATCC 824,map00950,0.04
Clostridium acetobutylicum ATCC 824,map00960,0.59
Clostridium acetobutylicum ATCC 824,map00966,0.03
Clostridium acetobutylicum ATCC 824,map00980,0.58
Clostridium acetobutylicum ATCC 824,map00982,0.58
Clostridium acetobutylicum ATCC 824,map00983,2.54
Clostridium acetobutylicum ATCC 824,map01040,0.68
Clostridium acetobutylicum ATCC 824,map01051,0.01
Clostridium acetobutylicum ATCC 824,map01055,0.59
Clostridium acetobutylicum DSM 1731,map00010,6.93
Clostridium acetobutylicum DSM 1731,map00020,2.9
Clostridium acetobutylicum DSM 1731,map00030,7.88
Clostridium acetobutylicum DSM 1731,map00040,7.6
Clostridium acetobutylicum DSM 1731,map00051,9.03
Clostridium acetobutylicum DSM 1731,map00052,11.15
Clostridium acetobutylicum DSM 1731,map00053,0.7
Clostridium acetobutylicum DSM 1731,map00061,0.25
Clostridium acetobutylicum DSM 1731,map00062,1.28
Clostridium acetobutylicum DSM 1731,map00071,2.91
Clostridium acetobutylicum DSM 1731,map00130,0.84
Clostridium acetobutylicum DSM 1731,map00220,5.24
Clostridium acetobutylicum DSM 1731,map00230,12.97
Clostridium acetobutylicum DSM 1731,map00240,7.58
Clostridium acetobutylicum DSM 1731,map00250,4.74
