Bacterium,Pathway,Value
Adlercreutzia equolifaciens,map00010,4.17
Adlercreutzia equolifaciens,map00020,3.6
Adlercreutzia equolifaciens,map00030,1.56
Adlercreutzia equolifaciens,map00040,1.9
Adlercreutzia equolifaciens,map00051,3.2
Adlercreutzia equolifaciens,map00052,0.97
Adlercreutzia equolifaciens,map00053,0.48
Adlercreutzia equolifaciens,map00061,2.58
Adlercreutzia equolifaciens,map00071,1.48
Adlercreutzia equolifaciens,map00130,7.13
Adlercreutzia equolifaciens,map00220,3.76
Adlercreutzia equolifaciens,map00230,4.38
Adlercreutzia equolifaciens,map00240,3.22
Adlercreutzia equolifaciens,map00250,3.86
Adlercreutzia equolifaciens,map00254,0.11
Adlercreutzia equolifaciens,map00260,3.16
Adlercreutzia equolifaciens,map00261,0.13
Adlercreutzia equolifaciens,map00270,6.83
Adlercreutzia equolifaciens,map00280,3.28
Adlercreutzia equolifaciens,map00290,1.3
Adlercreutzia equolifaciens,map00300,2.4
Adlercreutzia equolifaciens,map00310,0.48
Adlercreutzia equolifaciens,map00330,5.35
Adlercreutzia equolifaciens,map00332,0.22
Adlercreutzia equolifaciens,map00340,2.74
Adlercreutzia equolifaciens,map00350,0.18
Adlercreutzia equolifaciens,map00360,1.89
Adlercreutzia equolifaciens,map00362,0.51
Adlercreutzia equolifaciens,map00380,1.41
Adlercreutzia equolifaciens,map00400,0.82
Adlercreutzia equolifaciens,map00401,0.35
Adlercreutzia equolifaciens,map00410,1.73
Adlercreutzia equolifaciens,map00430,0.05
Adlercreutzia equolifaciens,map00440,4.8
Adlercreutzia equolifaciens,map00450,0.83
Adlercreutzia equolifaciens,map00460,0.68
Adlercreutzia equolifaciens,map00480,1.26
Adlercreutzia equolifaciens,map00500,0.98
Adlercreutzia equolifaciens,map00511,0.42
Adlercreutzia equolifaciens,map00513,0.42
Adlercreutzia equolifaciens,map00520,2.7
Adlercreutzia equolifaciens,map00521,0.13
Adlercreutzia equolifaciens,map00523,0.13
Adlercreutzia equolifaciens,map00525,0.13
Adlercreutzia equolifaciens,map00531,0.42
Adlercreutzia equolifaciens,map00541,0.64
Adlercreutzia equolifaciens,map00550,2.02
