Bacterium,Pathway,Value
Candidatus Saccharimonas aalborgensis,map00010,3.33
Candidatus Saccharimonas aalborgensis,map00020,1.0
Candidatus Saccharimonas aalborgensis,map00030,6.0
Candidatus Saccharimonas aalborgensis,map00040,1.0
Candidatus Saccharimonas aalborgensis,map00051,2.33
Candidatus Saccharimonas aalborgensis,map00052,1.33
Candidatus Saccharimonas aalborgensis,map00220,2.67
Candidatus Saccharimonas aalborgensis,map00230,5.0
Candidatus Saccharimonas aalborgensis,map00240,7.0
Candidatus Saccharimonas aalborgensis,map00250,2.67
Candidatus Saccharimonas aalborgensis,map00260,0.33
Candidatus Saccharimonas aalborgensis,map00270,1.33
Candidatus Saccharimonas aalborgensis,map00300,1.0
Candidatus Saccharimonas aalborgensis,map00311,1.0
Candidatus Saccharimonas aalborgensis,map00330,0.67
Candidatus Saccharimonas aalborgensis,map00332,0.67
Candidatus Saccharimonas aalborgensis,map00340,1.0
Candidatus Saccharimonas aalborgensis,map00380,1.0
Candidatus Saccharimonas aalborgensis,map00400,1.33
Candidatus Saccharimonas aalborgensis,map00430,0.33
Candidatus Saccharimonas aalborgensis,map00450,0.67
Candidatus Saccharimonas aalborgensis,map00460,1.33
Candidatus Saccharimonas aalborgensis,map00480,4.33
Candidatus Saccharimonas aalborgensis,map00500,6.0
Candidatus Saccharimonas aalborgensis,map00520,5.67
Candidatus Saccharimonas aalborgensis,map00541,3.33
Candidatus Saccharimonas aalborgensis,map00550,8.67
Candidatus Saccharimonas aalborgensis,map00561,0.67
Candidatus Saccharimonas aalborgensis,map00562,0.33
Candidatus Saccharimonas aalborgensis,map00564,1.67
Candidatus Saccharimonas aalborgensis,map00590,0.67
Candidatus Saccharimonas aalborgensis,map00620,1.67
Candidatus Saccharimonas aalborgensis,map00630,1.33
Candidatus Saccharimonas aalborgensis,map00640,1.33
Candidatus Saccharimonas aalborgensis,map00660,1.0
Candidatus Saccharimonas aalborgensis,map00670,3.0
Candidatus Saccharimonas aalborgensis,map00730,0.67
Candidatus Saccharimonas aalborgensis,map00760,4.67
Candidatus Saccharimonas aalborgensis,map00790,0.67
Candidatus Saccharimonas aalborgensis,map00900,0.33
Candidatus Saccharimonas aalborgensis,map00908,0.33
Candidatus Saccharimonas aalborgensis,map00940,1.0
Candidatus Saccharimonas aalborgensis,map00983,3.0
Candidatus Saccharimonas aalborgensis,map01051,0.33
Candidatus Saccharimonas aalborgensis,map01053,1.0
Helicobacter typhlonius,map00010,8.67
Helicobacter typhlonius,map00020,9.33
Helicobacter typhlonius,map00030,4.67
Helicobacter typhlonius,map00040,3.67
Helicobacter typhlonius,map00051,6.33
Helicobacter typhlonius,map00052,2.67
Helicobacter typhlonius,map00053,2.0
Helicobacter typhlonius,map00061,7.67
Helicobacter typhlonius,map00071,1.0
