Bacterium,Pathway,Value
Adlercreutzia equolifaciens,map00010,6.8
Adlercreutzia equolifaciens,map00020,5.0
Adlercreutzia equolifaciens,map00030,3.6
Adlercreutzia equolifaciens,map00040,2.2
Adlercreutzia equolifaciens,map00051,3.4
Adlercreutzia equolifaciens,map00052,2.4
Adlercreutzia equolifaciens,map00053,0.8
Adlercreutzia equolifaciens,map00061,5.2
Adlercreutzia equolifaciens,map00071,1.8
Adlercreutzia equolifaciens,map00130,7.8
Adlercreutzia equolifaciens,map00220,7.6
Adlercreutzia equolifaciens,map00230,12.6
Adlercreutzia equolifaciens,map00240,7.6
Adlercreutzia equolifaciens,map00250,8.8
Adlercreutzia equolifaciens,map00254,0.6
Adlercreutzia equolifaciens,map00260,7.6
Adlercreutzia equolifaciens,map00261,1.6
Adlercreutzia equolifaciens,map00270,12.8
Adlercreutzia equolifaciens,map00280,4.0
Adlercreutzia equolifaciens,map00290,4.8
Adlercreutzia equolifaciens,map00300,5.2
Adlercreutzia equolifaciens,map00310,0.8
Adlercreutzia equolifaciens,map00330,7.8
Adlercreutzia equolifaciens,map00332,1.0
Adlercreutzia equolifaciens,map00340,6.8
Adlercreutzia equolifaciens,map00350,1.0
Adlercreutzia equolifaciens,map00360,2.8
Adlercreutzia equolifaciens,map00362,0.6
Adlercreutzia equolifaciens,map00380,1.6
Adlercreutzia equolifaciens,map00400,6.2
Adlercreutzia equolifaciens,map00401,1.6
Adlercreutzia equolifaciens,map00410,2.8
Adlercreutzia equolifaciens,map00430,0.6
Adlercreutzia equolifaciens,map00440,5.0
Adlercreutzia equolifaciens,map00450,1.8
Adlercreutzia equolifaciens,map00460,1.2
Adlercreutzia equolifaciens,map00480,2.2
Adlercreutzia equolifaciens,map00500,1.6
Adlercreutzia equolifaciens,map00511,0.6
Adlercreutzia equolifaciens,map00513,0.6
Adlercreutzia equolifaciens,map00520,6.8
Adlercreutzia equolifaciens,map00521,0.4
Adlercreutzia equolifaciens,map00523,0.4
Adlercreutzia equolifaciens,map00525,0.4
Adlercreutzia equolifaciens,map00531,0.6
Adlercreutzia equolifaciens,map00541,2.2
Adlercreutzia equolifaciens,map00550,4.0
Adlercreutzia equolifaciens,map00561,4.4
Adlercreutzia equolifaciens,map00562,0.2
Adlercreutzia equolifaciens,map00564,3.0
Adlercreutzia equolifaciens,map00572,0.6
Adlercreutzia equolifaciens,map00603,0.6
Adlercreutzia equolifaciens,map00604,0.6
Adlercreutzia equolifaciens,map00620,8.6
Adlercreutzia equolifaciens,map00625,0.8
Adlercreutzia equolifaciens,map00627,0.8
Adlercreutzia equolifaciens,map00630,5.0
Adlercreutzia equolifaciens,map00633,1.6
Adlercreutzia equolifaciens,map00640,3.8
Adlercreutzia equolifaciens,map00643,0.8
Adlercreutzia equolifaciens,map00650,2.6
Adlercreutzia equolifaciens,map00660,1.8
